n,min,model,pval,simslope,slope
286,20,Compar,0.051302214,0,1.49E-07
292,10,PGLSSEY,0.29,0,-1.47E-08
292,10,PGLSSEYOPTIM,0.37,0,-1.24E-08
292,10,Compar,0.428253079,0,3.86E-08
298,1,PGLSSEY,0.25,0,-5.00E-08
298,1,PGLSSEYOPTIM,0.19,0,-6.07E-08
NA,NA,Compar,NA,NA,NA
307,20,PGLSSEY,0.83,0,-4.56E-09
307,20,PGLSSEYOPTIM,0.84,0,-4.18E-09
307,20,Compar,0.844721869,0,1.39E-08
306,1,PGLSSEY,0.61,0,-1.65E-08
306,1,PGLSSEYOPTIM,0.42,0,-2.64E-08
306,1,Compar,4.44E-16,0,-1.78E-06
303,5,PGLSSEY,0.78,0,-2.65E-08
303,5,PGLSSEYOPTIM,0.71,0,-3.63E-08
NA,NA,Compar,NA,NA,NA
297,5,PGLSSEY,0.32,0,-1.83E-08
297,5,PGLSSEYOPTIM,0.36,0,-1.65E-08
297,5,Compar,0.597350131,0,3.28E-08
295,5,PGLSSEY,0.39,0,-1.28E-08
295,5,PGLSSEYOPTIM,0.52,0,-9.36E-09
295,5,Compar,2.48E-06,0,2.68E-07
305,5,PGLSSEY,0.091,0,-2.36E-08
305,5,PGLSSEYOPTIM,0.028,0,-3.02E-08
305,5,Compar,0.113018923,0,-7.85E-08
298,1,PGLSSEY,0.39,0,2.84E-08
298,1,PGLSSEYOPTIM,0.64,0,1.60E-08
298,1,Compar,0.073922212,0,-2.15E-07
303,10,PGLSSEY,0.76,0,-1.28E-08
303,10,PGLSSEYOPTIM,0.73,0,-1.48E-08
NA,NA,Compar,NA,NA,NA
297,20,PGLSSEY,0.92,0,-3.67E-09
297,20,PGLSSEYOPTIM,0.63,0,-1.76E-08
297,20,Compar,0.001314112,0,4.36E-07
