"","n","min","model","pval","simslope","slope"
"x4046",49,20,"PGLSSEY",0.67,0,-1.12170202199586e-07
"x13046",49,20,"PGLSSEYOPTIM",0.55,0,-1.61150159752938e-07
"13046",49,20,"Compar",0.451148236760035,0,6.70909179581162e-07
"x4047",44,20,"PGLSSEY",0.86,0,-7.70589511353436e-08
"x13047",44,20,"PGLSSEYOPTIM",0.92,0,-3.91610020319013e-08
"13047",44,20,"Compar",0.154600198381267,0,-2.21500476099625e-06
"x4048",47,20,"PGLSSEY",0.66,0,-1.08955162857872e-07
"x13048",47,20,"PGLSSEYOPTIM",0.7,0,-9.31336325495351e-08
"13048",47,20,"Compar",0.85033159399039,0,-1.60102177309393e-07
"x4049",46,20,"PGLSSEY",0.67,0,-8.42760179872143e-08
"x13049",46,20,"PGLSSEYOPTIM",0.7,0,-7.82115299852012e-08
"13049",NA,NA,"Compar",NA,NA,NA
"x4050",45,20,"PGLSSEY",0.97,0,4.86648427238621e-09
"x13050",45,20,"PGLSSEYOPTIM",0.75,0,3.62390316651935e-08
"13050",NA,NA,"Compar",NA,NA,NA
"x4051",49,20,"PGLSSEY",0.66,0,-1.74594406811662e-08
"x13051",49,20,"PGLSSEYOPTIM",0.13,0,-5.53658270987243e-08
"13051",49,20,"Compar",0.0204548319453577,0,-3.82943520788734e-07
"x4052",47,20,"PGLSSEY",0.46,0,-4.70436414304946e-08
"x13052",47,20,"PGLSSEYOPTIM",0.45,0,-4.79771301093291e-08
"13052",47,20,"Compar",0.360601033027468,0,-2.09818590098549e-07
"x4053",48,20,"PGLSSEY",0.97,0,1.25102537081318e-08
"x13053",48,20,"PGLSSEYOPTIM",0.92,0,3.9337894281114e-08
"13053",48,20,"Compar",0.78207049790535,0,3.48283728916485e-07
"x4054",46,20,"PGLSSEY",0.46,0,1.72249166721389e-07
"x13054",46,20,"PGLSSEYOPTIM",0.29,0,2.5299339724365e-07
"13054",46,20,"Compar",0.0413513684602056,0,1.70442741583298e-06
"x4055",45,20,"PGLSSEY",0.96,0,-8.29015057264056e-09
