"","n","min","model","pval","simslope","slope"
"1544",47,1,"Compar",5.17166935054547e-07,1.79212057608205,114.075479607958
"logx645",48,1,"PGLSSEY",3.2e-05,0.770384805332879,8.47695928380485
"logx1545",48,1,"PGLSSEYOPTIM",8.5e-05,0.770384805332879,8.7172202839356
"1545",48,1,"Compar",0.33242428719646,0.770384805332879,10.6158081358662
"logx646",47,1,"PGLSSEY",3.7e-10,-0.951124840843018,-14.6910310731237
"logx1546",47,1,"PGLSSEYOPTIM",9.3e-11,-0.951124840843018,-15.502335520415
"1546",47,1,"Compar",5.00363667641501e-05,-0.951124840843018,-66.4134388705043
"logx647",48,1,"PGLSSEY",4.6e-05,0.846491527759991,14.9520265722965
"logx1547",48,1,"PGLSSEYOPTIM",4.9e-06,0.846491527759991,15.9567667499313
"1547",48,1,"Compar",3.156221584244e-05,0.846491527759991,96.0789310761502
"logx648",44,1,"PGLSSEY",4.4e-09,0.640485258125918,10.8367136230802
"logx1548",44,1,"PGLSSEYOPTIM",5.4e-08,0.640485258125918,10.8389596232059
"1548",44,1,"Compar",0.187987181563762,0.640485258125918,12.6082679999204
"logx649",45,1,"PGLSSEY",0.0076,-0.487020206009085,-8.22400248887455
"logx1549",45,1,"PGLSSEYOPTIM",0.031,-0.487020206009085,-7.07256545326485
"1549",45,1,"Compar",0.164624382110046,-0.487020206009085,-21.5776964264951
"logx650",46,1,"PGLSSEY",1.3e-11,-1.39892026478784,-9.77008107612989
"logx1550",46,1,"PGLSSEYOPTIM",4.2e-12,-1.39892026478784,-10.9220025935329
"1550",46,1,"Compar",3.81742353017245e-05,-1.39892026478784,-47.5131267746647
"logx651",47,1,"PGLSSEY",2.4e-07,-1.07768737528449,-16.2245283139913
"logx1551",47,1,"PGLSSEYOPTIM",1e-06,-1.07768737528449,-15.9430748948827
"1551",47,1,"Compar",1.38487487948424e-05,-1.07768737528449,-102.477127960359
"logx652",47,1,"PGLSSEY",2.3e-12,1.34811253482648,21.9654193433864
"logx1552",47,1,"PGLSSEYOPTIM",4.1e-13,1.34811253482648,22.4955415820846
"1552",47,1,"Compar",2.87816886324066e-07,1.34811253482648,135.892757455318
"logx653",47,1,"PGLSSEY",0.32,0.283648326759891,3.58873612818807
"logx1553",47,1,"PGLSSEYOPTIM",0.15,0.283648326759891,4.93465581494221
"1553",47,1,"Compar",0.0533463035666799,0.283648326759891,-38.2750571400538
"logx654",47,1,"PGLSSEY",1.2e-12,1.41088201232801,21.7748066659107
"logx1554",47,1,"PGLSSEYOPTIM",2.9e-13,1.41088201232801,22.2731286041983
"1554",47,1,"Compar",8.34894343659798e-07,1.41088201232801,137.879477127142
"logx655",49,1,"PGLSSEY",2e-08,1.2042750470548,11.9291792357599
"logx1555",49,1,"PGLSSEYOPTIM",1.1e-07,1.2042750470548,11.5363331409101
"1555",49,1,"Compar",2.75856681133391e-05,1.2042750470548,58.6914925802831
"logx656",47,1,"PGLSSEY",4e-16,1.65752601920753,9.8258349746081
"logx1556",47,1,"PGLSSEYOPTIM",2.4e-16,1.65752601920753,9.77044998194646
"1556",47,1,"Compar",3.58366299124668e-06,1.65752601920753,55.4047020742546
"logx657",44,1,"PGLSSEY",0.05,0.372374259273951,3.97797468055863
"logx1557",44,1,"PGLSSEYOPTIM",0.25,0.372374259273951,2.21453147110922
"1557",44,1,"Compar",0.7299430895455,0.372374259273951,2.6548122391584
"logx658",47,1,"PGLSSEY",1e-15,-1.67707310263794,-20.4930995836972
"logx1558",47,1,"PGLSSEYOPTIM",5.5e-16,-1.67707310263794,-19.7269896002407
"1558",47,1,"Compar",7.39514800507379e-08,-1.67707310263794,-102.548197612705
"logx659",44,1,"PGLSSEY",3.8e-15,-1.74661982415638,-15.7950172933896
"logx1559",44,1,"PGLSSEYOPTIM",2.2e-14,-1.74661982415638,-16.6294063663723
"1559",44,1,"Compar",1.53107777123296e-07,-1.74661982415638,-60.8211326515166
"logx660",48,1,"PGLSSEY",0.16,-0.0378995435040221,-4.50584761230923
"logx1560",48,1,"PGLSSEYOPTIM",0.05,-0.0378995435040221,-6.55344643792199
"1560",48,1,"Compar",0.00845217902255779,-0.0378995435040221,-55.5285092302746
"logx661",48,1,"PGLSSEY",3.7e-14,-1.33033996091939,-17.0747066870744
"logx1561",48,1,"PGLSSEYOPTIM",5.4e-13,-1.33033996091939,-17.4574597414027
"1561",48,1,"Compar",9.06251770871336e-06,-1.33033996091939,-79.9453371403724
"logx662",45,1,"PGLSSEY",6.8e-08,-1.2278582452318,-15.6519472374764
"logx1562",45,1,"PGLSSEYOPTIM",1.3e-08,-1.2278582452318,-15.9198580992803
"1562",45,1,"Compar",0.000379381268791779,-1.2278582452318,-57.3507171009642
"logx663",48,1,"PGLSSEY",2.3e-14,-1.468220537852,-25.4018293397144
"logx1563",48,1,"PGLSSEYOPTIM",7.2e-14,-1.468220537852,-25.8100705473494
"1563",48,1,"Compar",1.57865171601657e-05,-1.468220537852,-134.941770371064
"logx664",45,1,"PGLSSEY",2e-10,1.12666996529963,25.0742887116713
"logx1564",45,1,"PGLSSEYOPTIM",5.3e-10,1.12666996529963,24.729517442711
"1564",45,1,"Compar",3.20841330512245e-05,1.12666996529963,123.406965621492
"logx665",47,1,"PGLSSEY",0.00015,-0.639860684306133,-7.85601301756458
"logx1565",47,1,"PGLSSEYOPTIM",0.00093,-0.639860684306133,-6.21663947168283
"1565",47,1,"Compar",0.00544667059306692,-0.639860684306133,-27.0778731278326
"logx666",46,1,"PGLSSEY",0.045,-0.238412200843388,-7.00524212099116
"logx1566",46,1,"PGLSSEYOPTIM",0.12,-0.238412200843388,-5.24873575318038
"1566",46,1,"Compar",0.323225592782564,-0.238412200843388,-13.86811238836
"logx667",48,1,"PGLSSEY",6.2e-17,-1.64299822080499,-17.647730453429
"logx1567",48,1,"PGLSSEYOPTIM",3.1e-14,-1.64299822080499,-18.5430017002741
"1567",48,1,"Compar",9.25974552590247e-07,-1.64299822080499,-97.8582301062403
"logx668",47,1,"PGLSSEY",1.7e-15,-1.74465708501839,-14.9790847394163
"logx1568",47,1,"PGLSSEYOPTIM",3.1e-16,-1.74465708501839,-15.5085668990695
"1568",47,1,"Compar",1.50465727899451e-06,-1.74465708501839,-63.8305428229655
"logx669",44,1,"PGLSSEY",7.8e-10,-1.37007431242975,-17.9496593225573
"logx1569",44,1,"PGLSSEYOPTIM",2.9e-09,-1.37007431242975,-17.4026584523735
"1569",44,1,"Compar",0.000247681766586183,-1.37007431242975,-78.3847214100824
"logx670",45,1,"PGLSSEY",6.5e-06,-0.970492777848266,-15.7753171039407
"logx1570",45,1,"PGLSSEYOPTIM",1.2e-07,-0.970492777848266,-18.5188465816225
"1570",45,1,"Compar",0.000619537411433502,-0.970492777848266,-86.9202234028935
"logx671",45,1,"PGLSSEY",1.5e-15,-1.20662050484146,-18.1027994463706
"logx1571",45,1,"PGLSSEYOPTIM",5.1e-14,-1.20662050484146,-18.0003741666804
"1571",45,1,"Compar",1.43768687044243e-06,-1.20662050484146,-95.9638257725237
"logx672",45,1,"PGLSSEY",0.00018,0.422685245964334,7.16820001830524
"logx1572",45,1,"PGLSSEYOPTIM",0.00041,0.422685245964334,6.56895169181851
"1572",45,1,"Compar",3.3664206870121e-05,0.422685245964334,58.0704715341585
"logx673",47,1,"PGLSSEY",0.45,0.0252112758448222,-1.95888830894726
"logx1573",47,1,"PGLSSEYOPTIM",0.77,0.0252112758448222,-0.739923461966527
"1573",47,1,"Compar",0.155306239579093,0.0252112758448222,-16.5268659672256
"logx674",45,1,"PGLSSEY",8.2e-05,-0.592118381327163,-9.79603944675834
"logx1574",45,1,"PGLSSEYOPTIM",0.00016,-0.592118381327163,-8.89823553581961
"1574",45,1,"Compar",9.1289819610374e-06,-0.592118381327163,-66.9985766162554
"logx675",46,1,"PGLSSEY",9.4e-19,1.89357391043179,21.3563008569485
"logx1575",46,1,"PGLSSEYOPTIM",1.4e-17,1.89357391043179,21.254429645605
"1575",46,1,"Compar",2.27190266945954e-05,1.89357391043179,95.6892406503548
"logx676",47,1,"PGLSSEY",2.6e-06,0.741095911280241,10.9993140368291
"logx1576",47,1,"PGLSSEYOPTIM",4.6e-06,0.741095911280241,9.61589541932179
"1576",47,1,"Compar",0.00195741493670232,0.741095911280241,35.9904634658942
"logx677",43,1,"PGLSSEY",2.1e-11,1.71404014353649,28.6069251627089
"logx1577",43,1,"PGLSSEYOPTIM",4.8e-12,1.71404014353649,31.0944698606936
"1577",43,1,"Compar",4.93731503525829e-06,1.71404014353649,185.026348220919
"logx678",48,1,"PGLSSEY",0.81,-0.0557044808721476,-0.538498657159019
"logx1578",48,1,"PGLSSEYOPTIM",0.92,-0.0557044808721476,0.224397752416689
"1578",48,1,"Compar",0.0514255749524977,-0.0557044808721476,17.5398503341042
"logx679",48,1,"PGLSSEY",1.5e-09,0.793027620052394,11.8421816857531
"logx1579",48,1,"PGLSSEYOPTIM",3.4e-10,0.793027620052394,12.5186427154794
"1579",48,1,"Compar",0.000177712088517135,0.793027620052394,55.4369965728602
"logx680",48,1,"PGLSSEY",6.2e-09,-1.25961282616469,-19.122815465802
"logx1580",48,1,"PGLSSEYOPTIM",4.3e-11,-1.25961282616469,-19.6625047119107
"1580",48,1,"Compar",1.77389122058003e-06,-1.25961282616469,-91.9723354509515
"logx681",49,1,"PGLSSEY",4.3e-12,-1.03051954096837,-10.6476197774255
"logx1581",49,1,"PGLSSEYOPTIM",7.5e-15,-1.03051954096837,-11.8144122300451
"1581",49,1,"Compar",4.43105725000947e-07,-1.03051954096837,-71.4292676423829
"logx682",49,1,"PGLSSEY",4e-09,0.92858859457691,7.22109792506635
"logx1582",49,1,"PGLSSEYOPTIM",8.4e-10,0.92858859457691,7.44716990706344
"1582",49,1,"Compar",1.44861722217726e-06,0.92858859457691,40.8786961149003
"logx683",46,1,"PGLSSEY",2.3e-12,-1.3244255770651,-20.0272252701686
"logx1583",46,1,"PGLSSEYOPTIM",4.4e-13,-1.3244255770651,-20.389192031453
"1583",46,1,"Compar",1.13026821280116e-06,-1.3244255770651,-96.2669267579013
"logx684",46,1,"PGLSSEY",7e-06,-0.579455969046532,-7.72582196616117
"logx1584",46,1,"PGLSSEYOPTIM",8.7e-06,-0.579455969046532,-7.92528323011157
"1584",46,1,"Compar",0.67523449846582,-0.579455969046532,-3.62257263778793
"logx685",46,1,"PGLSSEY",3e-10,-0.950221455107923,-9.23616457110315
"logx1585",46,1,"PGLSSEYOPTIM",1.7e-09,-0.950221455107923,-9.26538030106117
"1585",46,1,"Compar",8.25867468190467e-07,-0.950221455107923,-55.6527682676074
"logx686",48,1,"PGLSSEY",5.6e-10,-0.995119420575173,-9.5410872898338
"logx1586",48,1,"PGLSSEYOPTIM",1.2e-10,-0.995119420575173,-9.67398366153354
"1586",48,1,"Compar",5.19971685264409e-06,-0.995119420575173,-52.3746053202722
"logx687",50,1,"PGLSSEY",0.0094,-0.537903703722164,-7.15981615402239
"logx1587",50,1,"PGLSSEYOPTIM",0.009,-0.537903703722164,-6.60591434194742
"1587",50,1,"Compar",0.0173389498776708,-0.537903703722164,-35.7797349799057
"logx688",48,1,"PGLSSEY",1.7e-05,0.511076428532577,6.44279664310081
"logx1588",48,1,"PGLSSEYOPTIM",3.3e-05,0.511076428532577,6.56725431000283
"1588",48,1,"Compar",0.0326337188090613,0.511076428532577,14.6729294617735
"logx689",47,1,"PGLSSEY",0.077,0.281705417343119,5.54205304287684
"logx1589",47,1,"PGLSSEYOPTIM",0.032,0.281705417343119,6.10094118718019
"1589",47,1,"Compar",0.0211311225649264,0.281705417343119,24.8357167526574
"logx690",49,1,"PGLSSEY",4.2e-11,1.37932255093453,11.6061503978702
"logx1590",49,1,"PGLSSEYOPTIM",1.4e-08,1.37932255093453,9.82966850128068
"1590",49,1,"Compar",1.54078481759967e-05,1.37932255093453,49.7296578440987
"logx691",47,1,"PGLSSEY",0.38,0.138770056158344,2.09855359496877
"logx1591",47,1,"PGLSSEYOPTIM",0.29,0.138770056158344,2.51550681384103
"1591",47,1,"Compar",0.0187074915841239,0.138770056158344,27.1609856462414
"logx692",47,1,"PGLSSEY",3.3e-09,1.35524047303247,14.506299396317
"logx1592",47,1,"PGLSSEYOPTIM",9e-08,1.35524047303247,14.4959336928979
"1592",47,1,"Compar",0.0104872784615162,1.35524047303247,43.2855813480273
"logx693",47,1,"PGLSSEY",0.0025,0.181350702820566,7.76808536922232
"logx1593",47,1,"PGLSSEYOPTIM",0.00056,0.181350702820566,8.3314319326191
"1593",47,1,"Compar",0.141251802367941,0.181350702820566,14.6381231051723
"logx694",45,1,"PGLSSEY",1e-10,0.816679157751907,9.41049048828278
"logx1594",45,1,"PGLSSEYOPTIM",4.7e-09,0.816679157751907,8.11788350440844
"1594",45,1,"Compar",7.7370676188071e-06,0.816679157751907,41.7663953300796
"logx695",48,1,"PGLSSEY",0.036,0.419840908452615,9.77402201348945
"logx1595",48,1,"PGLSSEYOPTIM",0.068,0.419840908452615,8.15464157676927
"1595",48,1,"Compar",0.000935945402549931,0.419840908452615,61.1519069020524
"logx696",46,1,"PGLSSEY",2.6e-05,-0.926139377205863,-20.7910091165841
"logx1596",46,1,"PGLSSEYOPTIM",1.8e-05,-0.926139377205863,-21.4638721179666
"1596",46,1,"Compar",0.000468214150961987,-0.926139377205863,-90.0451086606313
"logx697",48,1,"PGLSSEY",1e-15,-1.8560833935778,-13.3780635654493
"logx1597",48,1,"PGLSSEYOPTIM",6.5e-18,-1.8560833935778,-13.136829345033
"1597",48,1,"Compar",1.25034946885094e-06,-1.8560833935778,-56.3328162559737
"logx698",48,1,"PGLSSEY",0.0022,0.394753146476265,9.53765121167342
"logx1598",48,1,"PGLSSEYOPTIM",0.004,0.394753146476265,9.51462389903787
"1598",48,1,"Compar",0.0232368162809937,0.394753146476265,40.009231922978
"logx699",50,1,"PGLSSEY",4.5e-15,1.51227105561466,20.4103990032222
"logx1599",50,1,"PGLSSEYOPTIM",2e-13,1.51227105561466,20.9583649010193
"1599",50,1,"Compar",6.62176035861606e-05,1.51227105561466,83.2869153629016
"logx700",46,1,"PGLSSEY",1.1e-06,-0.954367658707423,-12.445330483088
"logx1600",46,1,"PGLSSEYOPTIM",6.9e-07,-0.954367658707423,-12.3937727180414
"1600",46,1,"Compar",0.0581998638361525,-0.954367658707423,-20.4343011788114
"logx701",49,1,"PGLSSEY",0.013,-0.903154545430128,-7.32665775306887
"logx1601",49,1,"PGLSSEYOPTIM",0.034,-0.903154545430128,-5.98394461003548
"1601",49,1,"Compar",0.121742753679691,-0.903154545430128,-22.1702868473203
"logx702",49,1,"PGLSSEY",4.1e-15,1.90314486153753,20.5218987672225
"logx1602",49,1,"PGLSSEYOPTIM",2.6e-14,1.90314486153753,21.6723897196259
"1602",49,1,"Compar",1.4567211228389e-06,1.90314486153753,124.40049740054
"logx703",45,1,"PGLSSEY",6.1e-17,-1.71992653555812,-12.4495566878792
"logx1603",45,1,"PGLSSEYOPTIM",2.6e-17,-1.71992653555812,-12.4190523748483
"1603",45,1,"Compar",3.79510523007554e-07,-1.71992653555812,-60.5001238098575
"logx704",48,1,"PGLSSEY",2.3e-12,-1.14509573163928,-8.35001119020236
"logx1604",48,1,"PGLSSEYOPTIM",9.8e-14,-1.14509573163928,-7.90378327991258
"1604",48,1,"Compar",1.06002513742265e-05,-1.14509573163928,-34.3800110215134
"logx705",46,1,"PGLSSEY",6.9e-18,-1.85170685713064,-9.23999079998682
"logx1605",46,1,"PGLSSEYOPTIM",2.5e-17,-1.85170685713064,-8.78577179617471
"1605",46,1,"Compar",5.528147310363e-06,-1.85170685713064,-44.6324979628744
"logx706",45,1,"PGLSSEY",2e-11,-0.985744287500812,-18.8260252241975
"logx1606",45,1,"PGLSSEYOPTIM",7.8e-11,-0.985744287500812,-18.5671372829918
"1606",45,1,"Compar",2.08773144261265e-06,-0.985744287500812,-112.76591944908
"logx707",46,1,"PGLSSEY",1.6e-08,-0.855646067758645,-11.0881077925864
"logx1607",46,1,"PGLSSEYOPTIM",4e-08,-0.855646067758645,-10.5766186874445
"1607",46,1,"Compar",0.000116209574087645,-0.855646067758645,-49.8373738093333
"logx708",47,1,"PGLSSEY",1.1e-09,-1.3227596951495,-20.5797164257722
"logx1608",47,1,"PGLSSEYOPTIM",1.1e-10,-1.3227596951495,-21.9131997536182
"1608",47,1,"Compar",2.8659959032673e-06,-1.3227596951495,-136.255720162213
"logx709",46,1,"PGLSSEY",8.1e-05,0.697368868871761,18.7577113081166
"logx1609",46,1,"PGLSSEYOPTIM",0.00011,0.697368868871761,18.4335309330083
"1609",46,1,"Compar",0.000292293345650174,0.697368868871761,96.8173631886057
"logx710",48,1,"PGLSSEY",2.1e-14,-1.50180274443118,-28.482759296656
"logx1610",48,1,"PGLSSEYOPTIM",1.5e-15,-1.50180274443118,-29.523041814569
"1610",48,1,"Compar",2.52360147268149e-06,-1.50180274443118,-154.448174545869
"logx711",46,1,"PGLSSEY",0.081,0.421831593788455,6.757908923659
"logx1611",46,1,"PGLSSEYOPTIM",0.036,0.421831593788455,7.84029784419424
"1611",46,1,"Compar",0.0338373151632814,0.421831593788455,37.0285657340028
"logx712",46,1,"PGLSSEY",8.9e-15,1.95305610872704,10.2079532745357
"logx1612",46,1,"PGLSSEYOPTIM",1e-14,1.95305610872704,9.48688087453736
"1612",46,1,"Compar",3.61262059378475e-07,1.95305610872704,45.2810686413832
"logx713",48,1,"PGLSSEY",0.015,0.597485042241609,2.86707989236167
"logx1613",48,1,"PGLSSEYOPTIM",0.001,0.597485042241609,4.0713554131432
"1613",48,1,"Compar",0.000195104811034685,0.597485042241609,27.1938748887281
"logx714",46,1,"PGLSSEY",7.1e-06,-0.877553368576593,-14.932816311349
"logx1614",46,1,"PGLSSEYOPTIM",1.8e-05,-0.877553368576593,-15.1821111812886
"1614",46,1,"Compar",0.000797666356329607,-0.877553368576593,-94.230611428482
"logx715",44,1,"PGLSSEY",1e-12,1.5864104651784,13.6445600403069
"logx1615",44,1,"PGLSSEYOPTIM",1.5e-12,1.5864104651784,13.710891954193
"1615",44,1,"Compar",2.28868012133177e-05,1.5864104651784,70.6414670272907
"logx716",49,1,"PGLSSEY",1.9e-09,-1.3460419680869,-10.3545934010158
"logx1616",49,1,"PGLSSEYOPTIM",2.8e-08,-1.3460419680869,-9.18011517760523
"1616",49,1,"Compar",0.000295232116970467,-1.3460419680869,-31.7320531592872
"logx717",42,1,"PGLSSEY",8.3e-10,-1.14941013303523,-6.59614080504031
"logx1617",42,1,"PGLSSEYOPTIM",7.3e-09,-1.14941013303523,-6.5946334658833
"1617",42,1,"Compar",4.31841986370252e-05,-1.14941013303523,-36.9483928463499
"logx718",48,1,"PGLSSEY",0.35,0.283755198824471,1.72905017892601
"logx1618",48,1,"PGLSSEYOPTIM",0.44,0.283755198824471,1.33876558483602
"1618",48,1,"Compar",0.784426657216967,0.283755198824471,1.66659289650079
"logx719",44,1,"PGLSSEY",2.5e-06,-0.602192978667128,-15.3113744035577
"logx1619",44,1,"PGLSSEYOPTIM",5.6e-06,-0.602192978667128,-14.924875812657
"1619",44,1,"Compar",0.00721390481295714,-0.602192978667128,-49.2885360875334
"logx720",48,1,"PGLSSEY",7.5e-06,0.990227392401383,10.2201872760765
"logx1620",48,1,"PGLSSEYOPTIM",2.8e-05,0.990227392401383,9.19370149042177
"1620",48,1,"Compar",0.00564728917850732,0.990227392401383,33.916662523643
"logx721",47,1,"PGLSSEY",4.6e-13,1.4518656418631,15.9647633737051
"logx1621",47,1,"PGLSSEYOPTIM",2.5e-14,1.4518656418631,16.2613121258077
"1621",47,1,"Compar",1.51754970412199e-06,1.4518656418631,71.0849452830744
"logx722",47,1,"PGLSSEY",1.1e-12,1.76180455983974,16.635323421784
"logx1622",47,1,"PGLSSEYOPTIM",4.5e-12,1.76180455983974,16.1066361675649
"1622",47,1,"Compar",4.26400433362062e-06,1.76180455983974,64.8557342688764
"logx723",48,1,"PGLSSEY",3.7e-07,-0.698017644041141,-12.3166231824502
"logx1623",48,1,"PGLSSEYOPTIM",4e-07,-0.698017644041141,-11.2031352960951
"1623",48,1,"Compar",2.82918434004742e-05,-0.698017644041141,-63.5134789670374
"logx724",48,1,"PGLSSEY",2.2e-10,1.04452386341546,15.2477688745042
"logx1624",48,1,"PGLSSEYOPTIM",1.2e-10,1.04452386341546,16.3998962502417
"1624",48,1,"Compar",3.35050786830493e-05,1.04452386341546,71.8895082663456
"logx725",48,1,"PGLSSEY",1.4e-15,1.84152817703734,10.0509146687911
"logx1625",48,1,"PGLSSEYOPTIM",7.6e-16,1.84152817703734,10.099203831284
"1625",48,1,"Compar",5.78949566065745e-08,1.84152817703734,52.6498581557861
"logx726",47,1,"PGLSSEY",0.00084,-0.0609852999180884,-7.31056580546392
"logx1626",47,1,"PGLSSEYOPTIM",5.6e-06,-0.0609852999180884,-9.83405945106212
"1626",47,1,"Compar",5.42090483042212e-05,-0.0609852999180884,-55.671262152664
"logx727",45,1,"PGLSSEY",6.2e-05,-0.68153794523326,-8.69541742985497
"logx1627",45,1,"PGLSSEYOPTIM",7.4e-05,-0.68153794523326,-7.86133861083611
"1627",45,1,"Compar",0.00802195592467636,-0.68153794523326,-26.6442816732373
"logx728",48,1,"PGLSSEY",6.2e-15,1.55568306324586,19.427569856896
"logx1628",48,1,"PGLSSEYOPTIM",1e-14,1.55568306324586,19.4702775684181
"1628",48,1,"Compar",1.13936966084083e-07,1.55568306324586,110.852344793733
"logx729",47,1,"PGLSSEY",1.2e-11,-1.49382171470554,-12.4740916635128
"logx1629",47,1,"PGLSSEYOPTIM",2.3e-09,-1.49382171470554,-11.3619289312321
"1629",47,1,"Compar",6.01515096398941e-06,-1.49382171470554,-61.6940431452622
"logx730",45,1,"PGLSSEY",0.00015,0.327221053666896,7.77778752488859
"logx1630",45,1,"PGLSSEYOPTIM",9.3e-05,0.327221053666896,7.73145544267016
"1630",45,1,"Compar",7.42374441977667e-05,0.327221053666896,57.9896568964132
"logx731",48,1,"PGLSSEY",2.4e-07,0.889848606914401,6.72128397685545
"logx1631",48,1,"PGLSSEYOPTIM",1.3e-06,0.889848606914401,6.62837024209079
"1631",48,1,"Compar",0.00858666295748245,0.889848606914401,19.4517422513217
"logx732",47,1,"PGLSSEY",2.2e-12,-1.16393298611465,-18.9629447676503
"logx1632",47,1,"PGLSSEYOPTIM",2.1e-11,-1.16393298611465,-18.5111206232829
"1632",47,1,"Compar",1.11874997630323e-05,-1.16393298611465,-71.8112604347525
"logx733",48,1,"PGLSSEY",1.9e-10,-1.64678788709731,-9.70141027710097
"logx1633",48,1,"PGLSSEYOPTIM",3e-10,-1.64678788709731,-9.29187143156732
"1633",48,1,"Compar",0.000164882102436925,-1.64678788709731,-36.9333180286271
"logx734",47,1,"PGLSSEY",1.6e-07,0.991952370462495,10.1328223458479
"logx1634",47,1,"PGLSSEYOPTIM",3e-07,0.991952370462495,10.418631423234
"1634",47,1,"Compar",0.000214690783717053,0.991952370462495,46.1749638434949
